date_day,affiliate_name,affiliate_id,campaign_name,country,spend_usd,conversions
2025-01-01,PixelPartners,AFF007,summer_promo_2025,US,880.01,10
2025-01-01,AdVantage Hub,AFF005,product_launch_v2,CA,185.05,2
2025-01-01,ConvertFlow,AFF006,black_friday_2025,GB,839.95,6
2025-01-02,BrandBoost Network,AFF010,black_friday_2025,FR,701.63,9
2025-01-02,FunnelForge,AFF009,product_launch_v2,PL,812.36,5
2025-01-02,AdVantage Hub,AFF005,product_launch_v2,US,462.71,5
2025-01-02,ConvertFlow,AFF006,influencer_collab,US,640.1,1
2025-01-02,NorthStar Affiliates,AFF004,new_year_push,BR,347.18,3
2025-01-02,ClickBridge Partners,AFF003,new_year_push,DE,235.37,1
2025-01-03,AdVantage Hub,AFF005,q1_retention,NL,336.14,4
2025-01-03,TechReach Media,AFF001,black_friday_2025,CA,397.73,5
2025-01-03,ClickBridge Partners,AFF003,new_year_push,NL,194.6,1
2025-01-03,BrandBoost Network,AFF010,black_friday_2025,US,725.28,3
2025-01-03,NorthStar Affiliates,AFF004,black_friday_2025,NL,720.2,8
2025-01-04,TechReach Media,AFF001,product_launch_v2,DE,707.3,5
2025-01-04,AdVantage Hub,AFF005,loyalty_reactivation,DE,538.55,5
2025-01-04,GrowthNest,AFF002,black_friday_2025,US,438.11,2
2025-01-04,ClickBridge Partners,AFF003,new_year_push,GB,779.79,3
2025-01-04,NorthStar Affiliates,AFF004,summer_promo_2025,US,310.73,1
2025-01-05,GrowthNest,AFF002,referral_spring,US,153.84,1
2025-01-05,AdVantage Hub,AFF005,q1_retention,NL,458.74,5
2025-01-05,FunnelForge,AFF009,q1_retention,DE,204.9,1
2025-01-05,ClickBridge Partners,AFF003,product_launch_v2,GB,392.44,2
2025-01-05,NorthStar Affiliates,AFF004,referral_spring,FR,376.69,5
2025-01-05,TechReach Media,AFF001,summer_promo_2025,US,868.76,5
2025-01-05,LeadLaunch,AFF008,new_year_push,NL,298.01,3
2025-01-06,PixelPartners,AFF007,influencer_collab,US,330.88,4
2025-01-06,LeadLaunch,AFF008,loyalty_reactivation,US,782.42,1
2025-01-06,ConvertFlow,AFF006,black_friday_2025,NL,434.32,2
2025-01-06,BrandBoost Network,AFF010,product_launch_v2,FR,612.87,6
2025-01-06,AdVantage Hub,AFF005,summer_promo_2025,GB,114.12,1
2025-01-06,GrowthNest,AFF002,q1_retention,GB,198.51,1
2025-01-06,NorthStar Affiliates,AFF004,product_launch_v2,FR,219.89,1
2025-01-07,PixelPartners,AFF007,referral_spring,BR,475.49,1
2025-01-07,ConvertFlow,AFF006,influencer_collab,US,479.06,5
2025-01-07,AdVantage Hub,AFF005,product_launch_v2,BR,548.82,4
